Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,FetchSize,WriteSize,DispatchNs,BeginNs,EndNs,CompleteNs
70,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,140,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524341,4,782277633267716,782277633426746,782277634217189,782277634217646
74,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,148,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524898,262144,782277636270914,782277636428829,782277637278155,782277637283673
75,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,150,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524356,6,782277637342793,782277637505687,782277638266688,782277638268043
79,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,158,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524982,262144,782277640320311,782277640481528,782277641332454,782277641339531
80,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,160,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524346,5,782277641398300,782277641560307,782277642314107,782277642315100
84,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,168,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524918,262144,782277644373928,782277644534067,782277645380993,782277645386158
85,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,170,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524338,6,782277645449177,782277645613646,782277646376087,782277646376517
89,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,178,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,525013,262144,782277648437555,782277648600208,782277649455774,782277649462224
90,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,180,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524353,5,782277649521403,782277649684746,782277650443347,782277650442894
94,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,188,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524895,262144,782277652497872,782277652657227,782277653506393,782277653510141
95,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,190,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524351,5,782277653567280,782277653734726,782277654451404,782277654450701
99,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,198,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524946,262144,782277656511709,782277656675845,782277657529971,782277657535508
100,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,200,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524344,5,782277657595327,782277657756383,782277658516264,782277658516458
104,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,208,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524938,262144,782277660565116,782277660727104,782277661571950,782277661579135
105,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,210,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524341,5,782277661638044,782277661805242,782277662552163,782277662550725
109,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,218,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524934,262144,782277664604913,782277664763963,782277665613129,782277665619152
110,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,220,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524345,5,782277665673631,782277665840501,782277666622623,782277666622621
114,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",0,0,228,47036,47039,33554432,1024,0,0,8,32,4608,0x0,0x7f9dcc6048c0,524983,262144,782277668676679,782277668837783,782277669685989,782277669689599
115,"void dot_kernel<double>(double const*, double const*, double*, unsigned int) [clone .kd]",0,0,230,47036,47039,262144,1024,8192,0,16,32,5056,0x0,0x7f9dcc604900,524345,5,782277669749208,782277669918162,782277670685243,782277670683848
